QUERY_HASH,SCAN_TYPE,TABLE_NAME,COLUMN_NAME,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS,DESCRIPTION
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED7daf930e2aeb1f5c,COLUMN_SCAN,lineitem,l_shipinstruct,6001215,1500048,26798330,"TableScan Impl: ColumnVsValue l_shipinstruct = 'DELIVER IN PERSON'"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_shipmode,1500048,214377,89309516,"TableScan Impl: ExpressionEvaluator (l_shipmode) IN ('AIR', 'AIR REG')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_size,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
3182bf8ffc7b4501,COLUMN_SCAN,customer,c_acctbal,150000,67940,19597119,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d54058)"
3182bf8ffc7b4501,REFERENCE_SCAN,customer,c_phone,67940,19062,8856884,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('18', '26', '13', '21', '14', '33', '12')"
73d9eee103472a37,COLUMN_SCAN,nation,n_name,25,1,20952,"TableScan Impl: ColumnVsValue n_name = 'GERMANY'"
73d9eee103472a37,COLUMN_SCAN,lineitem,l_receiptdate,6001215,3793296,229761951,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
73d9eee103472a37,COLUMN_SCAN,lineitem,l_commitdate,6001215,3793296,229761951,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
73d9eee103472a37,COLUMN_SCAN,lineitem,l_receiptdate,6001215,3793296,237692720,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
73d9eee103472a37,COLUMN_SCAN,lineitem,l_commitdate,6001215,3793296,237692720,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
73d9eee103472a37,COLUMN_SCAN,orders,o_orderstatus,1500000,729413,9265670,"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"
9b97a2cfa4c31588,COLUMN_SCAN,lineitem,l_discount,6001215,1091162,19422801,"TableScan Impl: ColumnBetween l_discount BETWEEN INCLUSIVE 0.050974 AND 0.070984"
9b97a2cfa4c31588,REFERENCE_SCAN,lineitem,l_quantity,1091162,523006,13147336,"TableScan Impl: ColumnVsValue l_quantity < 25"
9b97a2cfa4c31588,REFERENCE_SCAN,lineitem,l_shipdate,523006,79115,3411536,"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1993-01-01' AND '1994-01-01'"
392f56ad573fc87a,COLUMN_SCAN,nation,n_name,25,1,17426,"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"
392f56ad573fc87a,COLUMN_SCAN,lineitem,l_receiptdate,6001215,3793296,254158576,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
392f56ad573fc87a,COLUMN_SCAN,lineitem,l_commitdate,6001215,3793296,254158576,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
392f56ad573fc87a,COLUMN_SCAN,lineitem,l_receiptdate,6001215,3793296,240100370,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
392f56ad573fc87a,COLUMN_SCAN,lineitem,l_commitdate,6001215,3793296,240100370,"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
392f56ad573fc87a,COLUMN_SCAN,orders,o_orderstatus,1500000,729413,9368573,"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"
59cffbf37ff5f7d0,COLUMN_SCAN,part,p_name,200000,2190,231093,"TableScan Impl: ColumnBetween p_name BETWEEN UPPER EXCLUSIVE 'beige' AND 'beigf'"
59cffbf37ff5f7d0,COLUMN_SCAN,lineitem,l_shipdate,6001215,909455,13803548,"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1994-01-01' AND '1995-01-01'"
59cffbf37ff5f7d0,COLUMN_SCAN,nation,n_name,25,1,14814,"TableScan Impl: ColumnVsValue n_name = 'ALGERIA'"
63e3e67b491585a7,COLUMN_SCAN,part,p_name,200000,2186,237605,"TableScan Impl: ColumnBetween p_name BETWEEN UPPER EXCLUSIVE 'pale' AND 'palf'"
63e3e67b491585a7,COLUMN_SCAN,lineitem,l_shipdate,6001215,914963,14016109,"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1995-01-01' AND '1996-01-01'"
63e3e67b491585a7,COLUMN_SCAN,nation,n_name,25,1,15175,"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_brand,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_brand,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_brand,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_container,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_container,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_container,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,lineitem,l_quantity,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,lineitem,l_quantity,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,lineitem,l_quantity,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
3aac1d6ab11ee56,REFERENCE_SCAN,part,p_size,214377,148,137732179,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 34) AND l_quantity >= 24) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#55') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 11) AND l_quantity >= 1) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#54')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 25) AND l_quantity >= 15) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#13')"
